State,Area_Name,PCTPOVALL_2015,PCTPOV017_2015,MEDHHINC_2015
TX,Johnson County,11.4,17.2,"58,685"
TX,Jones County,21.4,25.1,"41,871"
TX,Karnes County,20.0,25.7,"47,129"
TX,Kaufman County,13.1,15.8,"60,438"
TX,Kendall County,8.0,11.7,"79,108"
TX,Kenedy County,16.5,26.5,"40,082"
TX,Kent County,11.3,18.1,"45,338"
TX,Kerr County,14.3,26.7,"47,389"
TX,Kimble County,20.0,37.0,"37,448"
TX,King County,11.0,16.2,"69,588"
TX,Kinney County,20.6,26.5,"40,840"
TX,Kleberg County,24.3,33.0,"40,066"
TX,Knox County,19.2,31.7,"43,238"
TX,Lamar County,18.8,28.9,"39,433"
TX,Lamb County,21.8,31.6,"41,807"
TX,Lampasas County,13.9,22.7,"50,985"
TX,La Salle County,27.9,33.3,"42,500"
TX,Lavaca County,12.2,17.4,"49,752"
TX,Lee County,12.4,18.2,"54,747"
TX,Leon County,13.8,21.4,"47,740"
TX,Liberty County,15.8,22.4,"53,552"
TX,Limestone County,19.1,28.9,"40,655"
TX,Lipscomb County,9.7,11.2,"60,955"
TX,Live Oak County,15.8,21.7,"53,184"
TX,Llano County,14.8,27.3,"46,366"
TX,Loving County,14.3,28.6,"59,499"
TX,Lubbock County,20.1,24.3,"47,139"
TX,Lynn County,20.5,31.1,"38,922"
TX,McCulloch County,18.6,29.2,"39,900"
TX,McLennan County,19.9,26.9,"46,264"
TX,McMullen County,10.0,15.8,"60,709"
TX,Madison County,19.2,26.1,"40,857"
TX,Marion County,23.4,36.4,"35,152"
TX,Martin County,11.4,16.2,"60,815"
TX,Mason County,13.8,23.3,"45,340"
TX,Matagorda County,20.5,30.9,"45,073"
TX,Maverick County,23.9,32.2,"34,687"
TX,Medina County,14.8,21.4,"52,831"
TX,Menard County,20.8,38.2,"34,308"
TX,Midland County,8.9,13.1,"79,829"
TX,Milam County,16.9,27.5,"46,433"
TX,Mills County,16.6,26.1,"40,958"
TX,Mitchell County,19.7,24.9,"41,977"
TX,Montague County,15.2,22.1,"49,653"
TX,Montgomery County,10.1,13.9,"72,428"
TX,Moore County,14.4,20.3,"49,345"
TX,Morris County,19.5,31.6,"37,236"
TX,Motley County,17.0,28.6,"40,575"
TX,Nacogdoches County,24.5,30.9,"39,556"
TX,Navarro County,19.6,27.9,"41,047"
TX,Newton County,21.2,28.1,"40,345"
TX,Nolan County,20.0,30.6,"40,052"
TX,Nueces County,19.9,30.6,"50,188"
TX,Ochiltree County,8.8,13.3,"67,136"
TX,Oldham County,13.4,29.2,"53,797"
TX,Orange County,16.1,22.6,"51,156"
TX,Palo Pinto County,18.6,27.8,"42,932"
TX,Panola County,15.1,20.9,"50,057"
TX,Parker County,9.4,13.7,"67,545"
TX,Parmer County,14.5,21.1,"46,827"
TX,Pecos County,18.1,23.6,"45,839"
TX,Polk County,17.2,28.8,"42,746"
TX,Potter County,22.4,31.8,"40,353"
TX,Presidio County,22.4,32.3,"33,218"
TX,Rains County,14.4,26.8,"46,698"
TX,Randall County,8.5,12.0,"62,080"
TX,Reagan County,8.8,11.9,"65,948"
TX,Real County,19.4,34.6,"34,031"
TX,Red River County,20.2,31.0,"36,347"
TX,Reeves County,19.3,24.2,"44,470"
TX,Refugio County,15.4,22.9,"45,562"
TX,Roberts County,6.7,8.7,"71,859"
TX,Robertson County,16.6,28.8,"53,635"
TX,Rockwall County,6.0,8.2,"92,150"
TX,Runnels County,18.5,25.4,"39,404"
TX,Rusk County,16.6,22.3,"49,347"
TX,Sabine County,19.7,33.7,"36,813"
TX,San Augustine County,24.3,37.3,"33,156"
TX,San Jacinto County,18.1,30.1,"42,371"
TX,San Patricio County,15.5,23.3,"52,952"
TX,San Saba County,18.9,29.2,"42,559"
TX,Schleicher County,13.4,21.9,"53,886"
TX,Scurry County,12.7,18.1,"57,385"
TX,Shackelford County,13.1,19.4,"51,685"
TX,Shelby County,19.8,29.0,"41,519"
TX,Sherman County,12.8,18.7,"54,010"
TX,Smith County,16.0,23.2,"49,364"
TX,Somervell County,12.1,17.7,"58,040"
TX,Starr County,30.9,42.5,"28,292"
TX,Stephens County,18.2,27.7,"45,410"
TX,Sterling County,11.6,17.5,"62,759"
TX,Stonewall County,14.5,21.2,"45,928"
TX,Sutton County,12.5,18.4,"60,310"
TX,Swisher County,21.6,34.0,"40,584"
TX,Tarrant County,13.1,18.4,"60,735"
TX,Taylor County,14.8,21.7,"47,388"
TX,Terrell County,16.7,21.8,"43,815"
TX,Terry County,22.5,32.2,"43,357"
TX,Throckmorton County,13.6,26.9,"43,225"
TX,Titus County,20.1,28.8,"41,538"
TX,Tom Green County,15.6,21.7,"47,756"
TX,Travis County,13.2,17.8,"65,244"
TX,Trinity County,19.5,32.8,"37,213"
TX,Tyler County,19.9,25.1,"40,820"
TX,Upshur County,15.5,23.6,"45,494"
TX,Upton County,13.5,18.2,"57,085"
TX,Uvalde County,20.7,33.4,"37,700"
TX,Val Verde County,22.1,31.8,"42,465"
TX,Van Zandt County,15.9,22.3,"47,252"
TX,Victoria County,13.6,20.7,"55,406"
TX,Walker County,22.7,24.9,"41,429"
TX,Waller County,16.0,21.9,"50,746"
