State,Area_Name,PCTPOVALL_2015,PCTPOV017_2015,MEDHHINC_2015
WI,Grant County,14.0,16.7,"51,008"
WI,Green County,7.5,10.7,"59,155"
WI,Green Lake County,12.2,19.9,"49,493"
WI,Iowa County,9.5,12.3,"58,092"
WI,Iron County,13.0,20.5,"42,328"
WI,Jackson County,12.4,19.6,"50,653"
WI,Jefferson County,9.2,12.4,"61,622"
WI,Juneau County,14.5,21.2,"46,051"
WI,Kenosha County,12.7,18.9,"56,414"
WI,Kewaunee County,8.2,10.3,"60,572"
WI,La Crosse County,14.4,12.4,"51,428"
WI,Lafayette County,10.5,16.9,"56,428"
WI,Langlade County,14.4,22.8,"44,635"
WI,Lincoln County,9.8,14.7,"51,406"
WI,Manitowoc County,10.7,15.1,"51,951"
WI,Marathon County,9.5,13.5,"56,347"
WI,Marinette County,12.7,18.6,"48,545"
WI,Marquette County,12.0,19.6,"48,508"
WI,Menominee County,35.2,50.9,"33,410"
WI,Milwaukee County,20.3,29.5,"45,905"
WI,Monroe County,12.8,19.6,"52,975"
WI,Oconto County,9.7,13.9,"53,243"
WI,Oneida County,9.5,16.2,"50,297"
WI,Outagamie County,9.0,12.0,"60,649"
WI,Ozaukee County,5.2,5.2,"80,135"
WI,Pepin County,10.1,16.9,"50,094"
WI,Pierce County,9.8,9.2,"63,735"
WI,Polk County,10.1,14.2,"54,946"
WI,Portage County,12.2,12.1,"57,010"
WI,Price County,13.0,18.2,"44,932"
WI,Racine County,12.4,18.4,"57,367"
WI,Richland County,14.2,21.8,"46,998"
WI,Rock County,13.9,20.1,"54,107"
WI,Rusk County,14.0,23.2,"42,289"
WI,St. Croix County,5.7,6.9,"74,624"
WI,Sauk County,11.7,16.8,"52,025"
WI,Sawyer County,15.5,27.8,"44,556"
WI,Shawano County,11.6,18.8,"50,948"
WI,Sheboygan County,9.0,11.8,"58,190"
WI,Taylor County,12.4,19.5,"48,951"
WI,Trempealeau County,9.4,13.5,"53,695"
WI,Vernon County,14.8,26.4,"49,217"
WI,Vilas County,13.4,22.8,"42,993"
WI,Walworth County,12.4,14.7,"58,554"
WI,Washburn County,13.5,22.7,"45,043"
WI,Washington County,5.3,6.4,"70,778"
WI,Waukesha County,4.7,5.1,"78,689"
WI,Waupaca County,10.7,14.4,"54,849"
WI,Waushara County,11.8,20.2,"49,912"
WI,Winnebago County,11.3,13.3,"52,725"
WI,Wood County,11.3,16.1,"51,025"
WY,Wyoming,10.6,13.0,"61,213"
WY,Albany County,20.1,15.9,"44,455"
WY,Big Horn County,12.1,13.9,"50,056"
WY,Campbell County,7.5,8.9,"83,042"
WY,Carbon County,11.4,13.7,"60,209"
WY,Converse County,8.5,11.3,"70,307"
WY,Crook County,7.7,10.7,"64,851"
WY,Fremont County,12.9,18.2,"52,408"
WY,Goshen County,15.1,19.3,"48,146"
WY,Hot Springs County,11.9,16.3,"46,021"
WY,Johnson County,8.2,10.6,"56,845"
WY,Laramie County,10.6,13.6,"59,147"
WY,Lincoln County,8.8,10.6,"62,364"
WY,Natrona County,11.0,14.2,"56,703"
WY,Niobrara County,13.3,19.0,"46,693"
WY,Park County,9.6,13.8,"55,527"
WY,Platte County,11.7,17.4,"51,863"
WY,Sheridan County,9.5,13.2,"57,122"
WY,Sublette County,6.1,7.1,"77,581"
WY,Sweetwater County,8.5,10.2,"71,867"
WY,Teton County,6.6,7.6,"83,290"
WY,Uinta County,9.8,11.9,"62,968"
WY,Washakie County,11.2,15.7,"56,088"
WY,Weston County,9.8,13.1,"60,986"
